"ServerName","Reachable","uptime","LastReboot","TimeStamp"
"shintnpemju101","Yes","2 Days 0 Hours 33 Min 21 Sec","6/20/2016 8:49:23 AM","2016-06-22T09:22:26"
"shwintpscju101","Yes","2 Days 0 Hours 47 Min 16 Sec","6/20/2016 8:35:45 AM","2016-06-22T09:22:45"
"shintnpfcju101","Yes","2 Days 0 Hours 40 Min 17 Sec","6/20/2016 8:42:58 AM","2016-06-22T09:23:01"
"shinjhknmju101","No(down)",,,"2016-06-22T09:23:16"
"shwintpscju102","Yes","2 Days 1 Hours 3 Min 38 Sec","6/20/2016 8:19:57 AM","2016-06-22T09:23:18"
